,scenario,intent,status,answer_annotation,predicted_label,review,move,remove
6673,audio,volume_up,,audio on,audiobook,False,False,True
6178,audio,volume_up,,turn my audio higher,audiobook,False,False,True
6671,audio,volume_up,,audio up,audiobook,False,False,True
5544,audio,volume_up,,turn up [media_type : music] please,music,False,False,True
2055,audio,volume_up,,i cant hear a thing,music,False,False,True
231,audio,volume_up,,i can't hear you,music,False,False,True
233,audio,volume_up,,i can barely hear you,music,False,False,True
3811,audio,volume_up,,play it louder,music,False,False,True
1773,audio,volume_up,,the volume of the music playing now should be raised,music_query,False,False,True
1859,audio,volume_up,,speak as loud as you can,quirky,False,False,True
769,audio,volume_up,,could you please yell the answer out to me,quirky,False,False,True
3955,audio,volume_up,,loudly,quirky,False,False,True
5361,audio,volume_up,,hey sound is low can you tune it up,quirky,False,False,True
618,audio,volume_up,,bring back talking after,quirky,False,False,True
1861,audio,volume_up,,could you speak a little more softly,repeat,False,False,True
4013,audio,volume_up,,i can't hear you can you say it again louder,repeat,False,False,True
4015,audio,volume_up,,i need you to say that last information again but much louder,repeat,False,False,True
5313,audio,volume_up,ADD,could you speak [change_amount : more softly],repeat,False,False,True
1144,audio,volume_up,,i couldn't hear you repeat that louder,repeat,False,False,True
784,audio,volume_up,,please decrease the volume of this song,volume_down,False,False,True
5279,audio,volume_up,,please turn my speakers on google,volume_mute,False,False,True
