,scenario,intent,status,answer_annotation,suggested_entities,question,review,remove
0,alarm,set,nan,wake me up at [time : five am] [date : this week],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1,alarm,set,nan,wake me up at [time : nine am] on [date : friday],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2,alarm,set,nan,set an alarm for [time : two hours from now],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
42,alarm,remove,nan,cancel my [time : seven am] alarm,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
43,alarm,remove,nan,remove the alarm set for [time : ten pm],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
44,alarm,remove,nan,stop [time : seven am] alarm,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
45,alarm,query,nan,what alarms have i set,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,True,False
46,alarm,query,nan,please list active alarms,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
47,alarm,query,nan,tell me about my alarms,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
81,alarm,set,nan,set an alarm for [time : twelve],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
82,alarm,set,nan,set an alarm for [time : forty minutes from now],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,True,False
83,alarm,set,nan,set alarm for [time : eight] [general_frequency : every weekday],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
151,alarm,set,nan,set alarm at [time : ten am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
152,alarm,set,nan,set alarm [date : tomorrow] at [time : six am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
153,alarm,set,nan,set wake up [date : Thursday] [time : seven am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
179,alarm,remove,nan,delete the alarm i just set,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
180,alarm,remove,nan,remove the alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
181,alarm,query,MOD,show me the alarms i set,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
182,alarm,query,MOD,do i have any alarms,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
183,alarm,query,MOD,show alarms,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
208,alarm,set,nan,set an alarm at [time : six] in the [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
209,alarm,set,nan,set an alarm for [time : four] in the [timeofday : afternoon],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
210,alarm,set,nan,alert me at [time : three pm] to go to the [event_name : concert],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,True,False
211,alarm,query,nan,do i have an alarm set for my [timeofday : morning] [event_name : flight],nan,How would you ask your PDA to tell you about the alarms it has set.,True,False
212,alarm,query,nan,did i set an alarm to [alarm_type : wake up] in the [timeofday : morning],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
213,alarm,query,nan,are there any alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
330,alarm,query,nan,what's my next alarm,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
331,alarm,query,nan,please tell me my alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
332,alarm,query,nan,what time will my alarm go off [date : today],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
385,alarm,remove,nan,remove the first alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
386,alarm,remove,nan,disable the first alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
387,alarm,remove,nan,delete the first alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
397,alarm,query,nan,what alarms do i have set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
398,alarm,query,nan,read me my alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
399,alarm,query,nan,what time are my alarms set for,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
405,alarm,set,nan,set an alarm for me at [time : eight am],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
406,alarm,set,nan,make an alarm for [time : four pm],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
407,alarm,set,nan,make me a wake up alarm for [time : eight forty five am],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
408,alarm,set,IRR,go to alarm on menu,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
409,alarm,set,IRR,change the time,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
410,alarm,set,IRR,set alarm,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
509,alarm,query,nan,confirm the alarm time,nan,How would you tell your PDA to confirm a setting,False,False
510,alarm,query,nan,what alarms are set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
511,alarm,query,nan,which alarms do i have,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
512,alarm,query,nan,do i have an alarm set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
540,alarm,set,nan,set an alarm for [time : nine am],"date, time",How would you ask your PDA to set an alarm?,False,False
541,alarm,set,nan,set a wake up call for [time : ten am],"date, time",How would you ask your PDA to set an alarm?,False,False
542,alarm,set,nan,i need a reminder alarm at [time : one],"date, time",How would you ask your PDA to set an alarm?,False,False
543,alarm,set,nan,make an alarm for [time : three pm],"date, time",How would you ask your PDA to set an alarm?,False,False
544,alarm,set,nan,turn on an alarm for [time : nine am],"date, time",How would you ask your PDA to set an alarm?,False,False
545,alarm,set,nan,set an alarm for [time : one pm],"date, time",How would you ask your PDA to set an alarm?,False,False
