,scenario,intent,status,answer_annotation,suggested_entities,question,review,remove
3,audio,volume_mute,nan,quiet,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
4,audio,volume_mute,IRR_XL,stop,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
5,audio,volume_mute,nan,pause for [time : ten seconds],player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
101,audio,volume_down,nan,set the volume [change_amount : to low],player_setting,How would you ask your PDA to change some specific settings of your music player?,False,False
134,audio,volume_other,nan,change the volume,player_setting,How would you ask your PDA to change some specific settings of your music player?,False,False
165,audio,volume_up,nan,turn up the volume,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
166,audio,volume_up,nan,volume up,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
167,audio,volume_mute,nan,mute volume,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
231,audio,volume_up,nan,i can't hear you,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
232,audio,volume_down,nan,you're too loud,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
233,audio,volume_up,nan,i can barely hear you,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
288,audio,volume_mute,nan,please be quiet for [time : another hour],player_setting,How would you ask your PDA not to speak for some time?,False,False
289,audio,volume_mute,nan,mute,player_setting,How would you ask your PDA not to speak for some time?,False,False
290,audio,volume_mute,nan,do not speak [date : today],player_setting,How would you ask your PDA not to speak for some time?,False,False
306,audio,volume_down,nan,quieter,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
307,audio,volume_down,nan,softer,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
308,audio,volume_mute,nan,silent,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
436,audio,volume_up,nan,raise volume,player_setting,How would you ask your PDA to change some specific settings of your music player?,False,False
455,audio,volume_up,nan,can you speak a little louder,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
456,audio,volume_up,nan,i am unable to hear you can you speak little loud,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
457,audio,volume_up,nan,please speak loud,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
503,audio,volume_mute,nan,silence please,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
504,audio,volume_mute,nan,speakers off,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
505,audio,volume_mute,nan,quiet please,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
516,audio,volume_mute,nan,can you mute when i am not home,player_setting,How would you ask your PDA not to speak for some time?,False,False
517,audio,volume_mute,MOD,mute yourself when i am in a [event_name : meeting],player_setting,How would you ask your PDA not to speak for some time?,False,False
518,audio,volume_mute,nan,mute for the [time : next hour] please,player_setting,How would you ask your PDA not to speak for some time?,False,False
554,audio,volume_up,nan,please increase the volume of the music [song_name : hips don't lie],player_setting,Write what you would tell your PDA in the following scenario: You want to know what music is currently playing.,True,False
581,audio,volume_up,nan,increase volume,player_setting,How would you ask your PDA to change some specific settings of your music player?,False,False
607,audio,volume_up,nan,turn up sound,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
608,audio,volume_down,nan,Turn down volume,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
609,audio,volume_up,nan,volume louder please,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
616,audio,volume_mute,nan,set mute for [time : twenty minutes],player_setting,How would you ask your PDA not to speak for some time?,False,False
617,audio,volume_up,nan,unmute after,player_setting,How would you ask your PDA not to speak for some time?,True,False
618,audio,volume_up,nan,bring back talking after,player_setting,How would you ask your PDA not to speak for some time?,True,False
713,audio,volume_down,nan,lower the volume,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
714,audio,volume_down,nan,it is too loud decrease the volume,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
715,audio,volume_up,nan,i can't hear just increase the volume,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
768,audio,volume_down,nan,could you please lower your volume,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
769,audio,volume_up,nan,could you please yell the answer out to me,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
770,audio,volume_down,nan,could you please lower the tone,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
784,audio,volume_up,nan,please decrease the volume of this song,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
785,audio,volume_up,nan,increase the volume so that i can hear it in other room,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
786,audio,volume_down,nan,decrease the volume [change_amount : to ten percent],player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
787,audio,volume_mute,nan,don't talk until i ask you to,player_setting,How would you ask your PDA not to speak for some time?,False,False
788,audio,volume_mute,nan,mute yourself until i say otherwise,player_setting,How would you ask your PDA not to speak for some time?,False,False
789,audio,volume_mute,nan,don't speak for a while,player_setting,How would you ask your PDA not to speak for some time?,False,False
845,audio,volume_mute,nan,mute sound on speakers please,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
846,audio,volume_mute,nan,mute the speakers,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,True,False
847,audio,volume_down,nan,lower all volume on speakers please,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
861,audio,volume_up,nan,increase the volume,player_setting,Write what you would tell your PDA in the following scenario: You want to know what music is currently playing.,False,False
983,audio,volume_other,nan,change the volume of the speakers,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
1003,audio,volume_mute,nan,will you please mute my speakers,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
1004,audio,volume_mute,nan,sound off,player_setting,Write what you would tell your PDA in the following scenario: You want to mute the speakers.,False,False
1030,audio,volume_up,nan,please turn the music up,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
1031,audio,volume_down,nan,it's really loud can you please turn the music down,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
1032,audio,volume_up,MOD,increase the volume [change_amount : to max] please,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
1105,audio,volume_down,nan,lower the speak volume,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
1106,audio,volume_other,nan,change the audio settings,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
1107,audio,volume_down,nan,turn off the bass from the audio,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,True,False
1122,audio,volume_other,nan,show volume settings,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
1123,audio,volume_other,nan,where is volume setting,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
1124,audio,volume_other,nan,need to see volume settings,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,False
1142,audio,volume_up,nan,i can't hear you speak up,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
1143,audio,volume_down,nan,your volume is too high please repeat that lower,player_setting,How would you ask your PDA to speaker louder or quieter?,True,False
1144,audio,volume_up,nan,i couldn't hear you repeat that louder,player_setting,How would you ask your PDA to speaker louder or quieter?,True,False
1148,audio,volume_mute,nan,please stop for a bit,player_setting,How would you ask your PDA not to speak for some time?,False,False
1149,audio,volume_mute,nan,please pause yourself,player_setting,How would you ask your PDA not to speak for some time?,False,False
1150,audio,volume_mute,nan,get yourself muted,player_setting,How would you ask your PDA not to speak for some time?,False,False
1243,audio,volume_other,nan,adjust sound,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
1244,audio,volume_other,nan,give a pleasant sound,player_setting,How would you ask your PDA to speaker louder or quieter?,False,True
1245,audio,volume_other,nan,comfortably adjust sound,player_setting,How would you ask your PDA to speaker louder or quieter?,False,True
1296,audio,volume_up,nan,can you turn up the volume on itunes,player_setting,How would you ask your PDA to change some specific settings of your music player?,True,False
1388,audio,volume_up,nan,louder,player_setting,How would you ask your PDA to speaker louder or quieter?,False,False
1389,audio,volume_up,IRR_XL,slow,player_setting,How would you ask your PDA to speaker louder or quieter?,False,True
1390,audio,volume_up,IRR_XL,fast,player_setting,How would you ask your PDA to speaker louder or quieter?,False,True
1416,audio,volume_up,nan,please increase volume,player_setting,How would you ask your PDA to change some specific settings of your music player?,False,False
1417,audio,volume_mute,nan,Please pause the song,player_setting,How would you ask your PDA to change some specific settings of your music player?,True,False
1452,audio,volume_down,nan,please slow down volume of speaker,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,True
1453,audio,volume_down,nan,i want to slow down my speaker,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,True
1454,audio,volume_up,IRR,main apne speaker ka volume kam karna chahta hu,player_setting,Write what you would tell your PDA in the following scenario: You want to change the volume of the speakers.,False,True
