,scenario,intent,predicted_label,answer_annotation,review,move,remove
11624,play,audiobook,calendar_query,lets have a [player_setting : break] for [time : five minutes],False,False,True
11538,play,audiobook,factoid,play [audiobook_name : biography of jackie kennedy],False,False,True
11747,play,audiobook,factoid,[player_setting : playback] [audiobook_author : tom clancy] [audiobook_name : splinter cell],False,False,True
11713,play,audiobook,lists_query,list me the [media_type : audiobooks] i have already listened to,False,False,True
11609,play,audiobook,music,play [audiobook_name : magic run] [time : after thirty min],False,False,True
11663,play,audiobook,music,listen to [audiobook_name : the martian] from [app_name : downpour],True,False,False
11688,play,audiobook,music,can you play [audiobook_name : file],False,False,True
11623,play,audiobook,music,play it [time : after five minutes],False,False,True
11716,play,audiobook,music,i want to listen to [audiobook_name : treasure island] by [audiobook_author : robert louis stevenson],True,False,False
11619,play,audiobook,music,play [audiobook_name : the circle],False,False,True
11603,play,audiobook,music,play [audiobook_name : little women],False,False,True
11602,play,audiobook,music,play [audiobook_name : the scarlet letter],False,False,True
11601,play,audiobook,music,play [audiobook_name : the client] by [audiobook_author : john grisham],True,False,False
11719,play,audiobook,music,please play back some important points summary,False,False,True
11599,play,audiobook,music,[player_setting : stop play],False,False,True
11593,play,audiobook,music,can you play [audiobook_name : hunt for red october],True,False,False
11586,play,audiobook,music,play [audiobook_name : pride and prejudice],True,False,False
11571,play,audiobook,music,play the [audiobook_name : davinci code],True,False,False
11557,play,audiobook,music,play [audiobook_name : animal farm],True,False,False
11548,play,audiobook,music,play [audiobook_name : the time machine] by [audiobook_author : h g wells],True,False,False
11540,play,audiobook,music,i want to hear a book by [audiobook_author : torey hayden],False,False,False
11533,play,audiobook,music,play [audiobook_name : superstitions] by [audiobook_author : rl stine],True,False,False
11741,play,audiobook,music,play [audiobook_name : the two towers],False,False,True
11525,play,audiobook,music,play [audiobook_name : seven habits of effective people],False,False,True
11517,play,audiobook,music,can you [player_setting : put on] [audiobook_name : the giver],False,False,True
11508,play,audiobook,music,i want to listen to [audiobook_name : be more chill] by [audiobook_author : ned vizzini],True,False,False
11506,play,audiobook,music,please [player_setting : continue playing] [audiobook_name : odd thomas] by [audiobook_author : dean koontz],False,False,True
11645,play,audiobook,music,open [audiobook_name : the two towers] and play,False,False,True
11661,play,audiobook,music,play [audiobook_name : fault in our stars] on [app_name : audible],False,False,False
11729,play,audiobook,news_query,read to me,True,False,False
13441,play,audiobook,podcasts,play next episode of [audiobook_name : harry potter] by [audiobook_author : j. k. rowling],False,False,True
11622,play,audiobook,quirky,[player_setting : put on] [audiobook_name : the god of small things],False,False,True
11621,play,audiobook,quirky,[player_setting : replay] [audiobook_name : the god of small things],False,False,True
11600,play,audiobook,quirky,[player_setting : hold],False,False,True
11720,play,audiobook,quirky,[player_setting : read] me some more [audiobook_name : deadly death killers],False,False,False
11559,play,audiobook,quirky,[player_setting : go back to] [audiobook_name : animal farm],False,False,True
11733,play,audiobook,quirky,[player_setting : go back] to [audiobook_name : the midnight series],False,False,True
11746,play,audiobook,quirky,[player_setting : start chapter five] of [audiobook_name : physics for future presidents],False,False,False
11638,play,audiobook,quirky,i want to read [audiobook_name : the mars trilogy],False,False,False
11528,play,audiobook,repeat,[player_setting : start playing] again,False,False,True
4073,play,audiobook,repeat,please repeat the last sentence from that book,False,False,True
11625,play,audiobook,weather_query,i need a break [player_setting : start] it [time : after five minutes],False,False,True
