,scenario,intent,predicted_label,answer_annotation,review,move,remove
1315,datetime,convert,calendar_query,what is the time at [place_name : singapore] when our time is [time : five pm],False,False,False
3702,datetime,convert,calendar_set,if i call [person : mike] in [place_name : california] at [time : six pm] what will his time be,False,False,True
38,datetime,convert,datetime_query,tell me the time in [time_zone : g. m. t. plus five],False,False,False
6311,datetime,convert,datetime_query,what time can i call from [place_name : pennsylvania] and it will be business hours in [place_name : australia],False,False,True
6131,datetime,convert,datetime_query,which time zone are we in please change to [time_zone : current],False,False,True
6008,datetime,convert,datetime_query,now it's [time : five thirty pm] in [place_name : india] what about the time in [place_name : ivory coast],False,False,False
5680,datetime,convert,datetime_query,if i was in the [time_zone : eastern] time zone what time would it be,False,False,False
4698,datetime,convert,datetime_query,i need the time zone from [time_zone : london england] instead of [time_zone : central] time zone,False,False,True
3814,datetime,convert,datetime_query,when it is [time : nine] in the [time_zone : east] what time is it in the [time_zone : west],False,False,True
3427,datetime,convert,datetime_query,if it is [time : twelve hours] ahead of [time_zone : eastern] standard centaur time what's the time in the [place_name : philippines] now,False,False,False
2551,datetime,convert,datetime_query,it is [time : ten am] in [time_zone : eastern] standard time what time it is now it [time_zone : pacific] standard time,False,False,False
2332,datetime,convert,datetime_query,when it's [time : ten pm] here what time is it in [place_name : brisbane],False,False,False
1661,datetime,convert,datetime_query,what is the time now in [place_name : japan] compared to [place_name : usa],False,False,False
1620,datetime,convert,datetime_query,if it is [time : four pm] in [place_name : missouri] what time is it in [place_name : london],False,False,False
1663,datetime,convert,datetime_query,convert [place_name : usa] time in to [place_name : indian] time,False,False,False
379,datetime,convert,datetime_query,what is the time difference between [time_zone : eastern] time and [time_zone : pacific time],False,False,False
261,datetime,convert,datetime_query,it is [time : five forty five am] in [place_name : liverpool] what time is now [place_name : new york],False,False,False
262,datetime,convert,datetime_query,given it is [time : four thirty five pm] in [place_name : london] what time is it in [place_name : melbourne],False,False,False
378,datetime,convert,datetime_query,if it is [timeofday : noon] in [place_name : virginia] what time is it in [place_name : california],False,False,False
6957,datetime,convert,datetime_query,convert [time_zone : eastern] time to [time_zone : western] time,False,False,False
1069,datetime,convert,factoid,how many hours difference is [place_name : hong kong] from [place_name : new york city],False,False,False
682,datetime,convert,factoid,can you tell how many hours of difference are between [place_name : boston] and [place_name : los angeles],False,False,False
4696,datetime,convert,factoid,change [time_zone : mountain] standard to [time_zone : pacific],False,False,True
1314,datetime,convert,factoid,what is the time in [place_name : india] when the time in [place_name : us] is [time : twelve pm],False,False,False
5473,datetime,convert,factoid,how many hours distance is between my location and [place_name : new york],False,False,True
377,datetime,convert,factoid,what time is [time : twelve pm] [time_zone : eastern] time in [time_zone : pacific] time,False,False,False
6328,datetime,convert,factoid,how much later is [place_name : new york] than [place_name : la],False,False,False
6345,datetime,convert,maths,convert [time : twenty one thirty] from [time_zone : gtm four] to [time_zone : g. m. t. four thirty],False,False,False
6347,datetime,convert,maths,convert [time : one oh two] from [time_zone : gtm four thirty] to [time_zone : g. m. t. one thirty],False,False,False
6906,datetime,convert,transport_query,switch to [place_name : los angeles] time,False,False,True
3703,datetime,convert,weather_query,what time will it be locally at [time : nine am] [place_name : bangalore] [place_name : india] time,False,False,False
681,datetime,convert,weather_query,please can i know what time will it be at [time : six pm] here in [place_name : australia],False,False,False
1268,datetime,convert,weather_query,if it's [time : midnight] in [place_name : colorado] what time is it in [place_name : munich],False,False,False
1269,datetime,convert,weather_query,if it's [time : sunrise] in [place_name : stockholm] what time is it in [place_name : okinawa],False,False,False
1267,datetime,convert,weather_query,if it's [time : ten pm] in [place_name : california] what time is it in [place_name : alabama],False,False,False
1621,datetime,convert,weather_query,it's [time : eight] at [time : night] in [place_name : france] what time is it in [place_name : new york],False,False,False
