,scenario,intent,predicted_label,answer_annotation,review,move,remove
8214,calendar,calendar_query,calendar_remove,is my calendar empty,False,False,True
8608,calendar,calendar_query,calendar_remove,list all the events in my [date : march] calendar,False,False,False
9124,calendar,calendar_query,calendar_remove,open my calendar,False,False,True
10610,calendar,calendar_query,calendar_remove,[date : today] calendar,False,False,True
8906,calendar,calendar_query,calendar_set,tell me my upcoming events,True,False,False
9839,calendar,calendar_query,calendar_set,is my meeting with [person : bob] [date : tomorrow] at [time : three pm],False,False,False
8874,calendar,calendar_query,calendar_set,hi event has been added in your calendar please check,False,False,True
9842,calendar,calendar_query,calendar_set,i want to know more about this event,False,False,True
8798,calendar,calendar_query,calendar_set,how much [person : mehta] willing to invest in my company in [event_name : meeting] which held [date : today] at [time : five hundred and twenty pm],False,False,True
8774,calendar,calendar_query,calendar_set,where in [place_name : dc] is that [event_name : meeting] at [time : one pm] on [date : friday],False,False,True
10211,calendar,calendar_query,calendar_set,i needed to prepare for a [event_name : meeting],False,False,True
8746,calendar,calendar_query,calendar_set,show me all [event_name : meeting] reminders,True,False,False
10032,calendar,calendar_query,calendar_set,check my calendar for me,False,False,True
10038,calendar,calendar_query,calendar_set,schedule for [time : six thirty pm to seven hundred and thirty pm],False,False,True
8682,calendar,calendar_query,calendar_set,remind me the reminders i have set,False,False,True
8632,calendar,calendar_query,calendar_set,please check third event of [date : twenty second of march twenty seventeen],False,False,True
9537,calendar,calendar_query,calendar_set,is the [event_name : meeting] with [person : julie] at [time : three pm] on [date : wednesday],False,False,False
8767,calendar,calendar_query,calendar_set,is the [event_name : birthday dinner] on the calendar for [date : friday],False,False,False
8990,calendar,calendar_query,calendar_set,did i ask you to remind me of anything,False,False,False
9814,calendar,calendar_query,calendar_set,describe event on [date : march nineteenth] at [time : two pm] please,False,False,False
10283,calendar,calendar_query,calendar_set,confirm that my notification is set to remind me when i leave,False,False,True
9546,calendar,calendar_query,calendar_set,the meeting with [person : karl] will be in,False,False,True
9547,calendar,calendar_query,calendar_set,pawel prepare the [event_name : meeting] with [person : john],False,False,True
9548,calendar,calendar_query,calendar_set,[time : one thousand two hundred and thirty pm] already you will have a [event_name : meeting] in [time : ten mins],False,False,True
9588,calendar,calendar_query,calendar_set,tell me [time : ten minutes] before [event_name : meeting],False,False,True
9343,calendar,calendar_query,calendar_set,what's on for the [date : fourteenth] [timeofday : afternoon] that i could go with the [relation : two year old twins],False,False,True
9318,calendar,calendar_query,calendar_set,did i tell you to remind me something,False,False,True
9590,calendar,calendar_query,calendar_set,help to remind me to delete completed projects,False,False,True
9289,calendar,calendar_query,calendar_set,please tell me what day this event reminder is set for,False,False,True
9626,calendar,calendar_query,calendar_set,how are things looking for the meeting with [person : john],False,False,True
9631,calendar,calendar_query,calendar_set,how long will my [event_name : lunch meeting] be on [date : tuesday],False,False,False
9645,calendar,calendar_query,calendar_set,remind me [event_name : jack birthday] is on [date : fifteenth march],False,False,True
9121,calendar,calendar_query,calendar_set,does [date : monday's] [event_name : meeting] at [time : eight am] include [person : chuck ingerman],False,False,False
9741,calendar,calendar_query,calendar_set,did you add [date : tomorrow's] [event_name : meeting] to my calendar,False,False,False
9060,calendar,calendar_query,calendar_set,is [person : wyatt's] [event_name : birthday party] at [time : ten pm],False,False,False
9059,calendar,calendar_query,calendar_set,am i available at [time : five pm] on [date : sunday],False,False,False
9816,calendar,calendar_query,calendar_set,read information about calendar event on [date : march nineteenth] at [time : two pm],False,False,False
8463,calendar,calendar_query,calendar_set,tell me about the [date : next day's] event,True,False,False
9456,calendar,calendar_query,calendar_set,can you let me know when my [event_name : appointment] is on [date : tuesday],False,False,False
10307,calendar,calendar_query,calendar_set,is [person : jessica's] birthday on [date : april twelfth],False,False,False
7994,calendar,calendar_query,calendar_set,who i am meeting with on [date : Wednesday] at [time : four pm],False,False,False
8002,calendar,calendar_query,calendar_set,did i set reminder for [date : tomorrow] [event_name : meeting] at [time : five pm],False,False,False
10699,calendar,calendar_query,calendar_set,[person : rahul] [event_name : marriage] reminder,False,False,True
