,scenario,intent,predicted_label,answer_annotation,review,move,remove
7373,general,quirky,alarm_set,wake up,False,False,True
7686,general,quirky,calendar_query,what i did at [time : this time],False,False,True
7692,general,quirky,calendar_query,party,False,False,True
7780,general,quirky,calendar_query,hi what is going on [date : today],False,False,True
7877,general,quirky,calendar_query,tell me more about the [event_name : concert] on [date : friday's] [time : night],False,False,True
8113,general,quirky,calendar_query,how will help this meeting,False,False,True
8391,general,quirky,calendar_query,can you give me the details of upcoming [general_frequency : annual] [event_name : function] on [date : twenty sixth march],False,False,True
8485,general,quirky,calendar_query,tell me more about that [event_name : concert],False,False,True
9319,general,quirky,calendar_query,tell me more about the show,False,False,True
7378,general,quirky,calendar_query,show me what i did [date : today],False,False,True
9840,general,quirky,calendar_query,tell me more about my events,False,False,True
10050,general,quirky,calendar_query,what am i doing [date : this week],False,False,True
10051,general,quirky,calendar_query,when am i busy [date : this month],False,False,True
10190,general,quirky,calendar_query,what are the details on [event_name : umf],False,False,True
9737,general,quirky,calendar_query,i need to know more about the [event_name : parade] [date : this weekend],False,False,True
12882,general,quirky,calendar_query,what's next,False,False,True
33,general,quirky,calendar_query,give me the status on my available memory,False,False,True
10759,general,quirky,calendar_query,look for free time,False,False,True
16194,general,quirky,calendar_query,can you tell me when [date : friday the thirteenth] will be playing on tv [date : this year],False,False,True
3433,general,quirky,calendar_query,how many [news_topic : tornadoes] have there been [date : this month],False,False,True
16065,general,quirky,calendar_query,what is the answer to this,False,False,True
16233,general,quirky,calendar_query,when is the next touring,False,False,True
15961,general,quirky,calendar_query,what time are the hockey games [timeofday : tonight],False,False,True
15810,general,quirky,calendar_query,what is my astrology report for [date : today],False,False,True
16001,general,quirky,calendar_query,what store is having sales [date : tomorrow],False,False,True
7244,general,quirky,calendar_query,hey tell me more about my [event_name : meetings] [date : today],False,False,True
18861,general,quirky,calendar_remove,clear out the problem,False,False,True
7866,general,quirky,calendar_set,i have to go,False,False,False
15582,general,quirky,calendar_set,set up a date for just you and me,False,False,False
7739,general,quirky,calendar_set,remind me some particular event,False,False,True
7698,general,quirky,calendar_set,remind me when certain marvel shows return to netflix,False,False,True
18321,general,quirky,calendar_set,please check this info on geographics for me,False,False,True
15447,general,quirky,calendar_set,dance with me,False,False,False
7600,general,quirky,calendar_set,i want you to remind me that [date : today] is a bad day for me because i have incurred a lossof five and to look in stock [date : tomorrow] very well,False,False,True
7521,general,quirky,calendar_set,my daily schedule,False,False,True
7479,general,quirky,calendar_set,please know that today i had a [event_name : meeting] with [person : george],False,False,True
7459,general,quirky,calendar_set,add note that my day is going well,False,False,True
7389,general,quirky,calendar_set,i have a deadline on [date : tuesday],False,False,True
30,general,quirky,calendar_set,i need to have location services on can you check,False,False,True
5534,general,quirky,calendar_set,get with new one,False,False,True
7291,general,quirky,calendar_set,hey olly my friends gave me a surprise [event_name : birthday] party,False,False,True
1127,general,quirky,cleaning,should i be concerned about the [device_type : robot vacuum cleaner] upon startup,False,False,True
16020,general,quirky,confirm,please fact check in,False,False,True
