,scenario,intent,predicted_label,answer_annotation,predicted_tagging,review,use_predicted_tagging,remove
21,iot,cleaning,cleaning,cleaning is good dust is so bad do now your magic clean my [house_place : carpet],cleaning is good dust is so bad do now your magic clean my carpet,False,False,True
145,iot,coffee,coffee,i fancy some coffee now,i fancy some [device_type : coffee] now,False,False,True
237,iot,hue_lightoff,hue_lightoff,good night lights off,good [device_type : night lights] off,False,False,True
259,iot,hue_lightup,hue_lightup,brighten the [device_type : lamp next to the sofa],brighten [device_type : the lamp next to the sofa],True,False,False
373,iot,wemo_on,wemo_off,switch the [device_type : smart plug socket] on,switch the [device_type : smart plug socket] on,True,True,False
402,iot,hue_lightchange,hue_lightchange,change my [house_place : room] lights to [color_type : blue],change my [house_place : room] lights to [color_type : blue],False,True,False
403,iot,hue_lightchange,hue_lightchange,change my [house_place : room] lights to some [color_type : romantic] colour,change my [house_place : room] lights to some [color_type : romantic] colour,True,True,False
404,iot,hue_lightchange,hue_lightchange,change my room lights so that i can get a [color_type : good sleep],change my [house_place : room] lights so that i can get a [color_type : good sleep],False,False,True
443,iot,coffee,coffee,make coffee,make [device_type : coffee],True,False,False
701,iot,wemo_off,wemo_off,please turn off the [device_type : plug socket] of my [device_type : phone] when it'll be charged,please turn off the [device_type : plug socket] of my phone when it'll be charged,True,False,False
702,iot,wemo_on,wemo_on,turn on the [device_type : tv] socket when i arrive home,turn on the [device_type : tv socket] when i arrive [place_name : home],False,False,True
795,iot,wemo_on,wemo_on,turn on the [device_type : wemo plug socket] to plug in my dongle,turn on the [device_type : wemo plug socket] to [device_type : plug] in my dongle,False,False,True
905,iot,cleaning,cleaning,[device_type : robot vacuum] the [house_place : living room] now,[device_type : robot vacuum] the [house_place : living room] now,False,True,False
965,iot,hue_lightoff,hue_lightoff,turn the lights off to my [house_place : room],turn the lights off to my [house_place : room],False,True,False
1050,iot,hue_lightoff,hue_lightoff,turn the [house_place : living room's] light off,turn the [house_place : living] room's light off,False,False,False
1051,iot,hue_lightoff,hue_lightoff,turn [house_place : this room] light off,turn this [house_place : room] light off,False,False,True
