,scenario,intent,predicted_label,answer_annotation,review,move,remove
1697,iot,coffee,coffee,can i have an [coffee_type : espresso] please,False,False,False
1259,alarm,alarm_remove,alarm_remove,[time : one pm] removed,False,False,True
12276,play,game,game,give me a company for playing [game_name : football],False,False,True
14258,recommendation,movies,movies,what's playing at [place_name : brea plaza five],False,False,True
5009,play,music,music,get the beat,False,False,True
15657,qa,maths,maths,what is the answer to that question,False,False,True
3834,audio,volume_down,volume_down,speak softer please,False,False,True
11743,play,audiobook,audiobook,open [audiobook_name : the two towers],False,False,True
7067,audio,volume_mute,volume_mute,don't respond for [time : fifty seconds],False,False,True
10260,calendar,calendar_remove,calendar_remove,please relocate all dates to the trash,False,False,True
3158,audio,volume_mute,volume_mute,stop making sounds for [time : forty minutes],False,False,True
12356,play,game,game,start a [game_name : competitive crossword] for us,False,False,True
6714,takeaway,order,order,please call [business_name : the golden fork] and tell them to [order_type : deliver] one portion of the [food_type : fish risotto],False,False,True
11637,play,audiobook,audiobook,please [player_setting : restart] [audiobook_name : the handmaid's tale],False,False,True
13626,play,podcasts,podcasts,start the [podcast_name : gilmore guys],False,False,True
2063,iot,hue_lighton,hue_lighton,turn the [device_type : disco lights] on,False,False,False
18291,qa,definition,definition,please search for [definition_word : dining tables],False,False,True
14303,recommendation,events,events,any [event_name : runs] on [place_name : the west side],False,False,True
12340,play,game,game,start up [game_name : league of legends] for me,False,False,True
1627,audio,volume_mute,volume_mute,do not make any noise until [timeofday : morning] alarm,False,False,True
11040,play,radio,radio,open [radio_name : radia],False,False,True
2581,takeaway,order,order,[food_type : noodles] one pack make it as [order_type : takeaway],False,False,True
2307,takeaway,order,order,call [business_name : peking garden],False,False,True
17042,qa,stock,stock,could you give me the exact rate for dow nifty futures,True,False,False
13198,lists,createoradd,createoradd,include this item,False,False,True
2257,iot,hue_lightdim,hue_lightdim,light is too much,False,False,True
19965,general,quirky,quirky,"Olly, learn that when i say [relation : mom], I mean [person : giselle adams]",False,False,True
5,audio,volume_mute,volume_mute,pause for [time : ten seconds],False,False,True
14374,recommendation,events,events,please check on the [event_name : live football matches] [date : this weekend],True,False,False
7055,iot,hue_lightoff,hue_lightoff,did i leave the light on in the [house_place : garage],False,False,True
945,iot,hue_lightchange,hue_lightchange,give me some [color_type : lavender] toned light,False,False,False
12183,play,game,game,open up [game_name : tetris],False,False,True
2893,takeaway,takeaway_query,takeaway_query,i've cancelled the order placed at [business_name : mcd] did it go through,True,False,True
15161,transport,traffic,traffic,fast road to get home,False,False,True
14487,transport,traffic,traffic,is there any construction on [place_name : route sixty six],True,False,True
4325,play,audiobook,audiobook,read that back,False,False,True
20084,email,querycontact,querycontact,please delete the contacts that i havent spoken to in [date : three of months],False,False,True
14304,recommendation,events,events,[event_name : running competitions] on [place_name : the west side],False,False,True
878,alarm,alarm_remove,alarm_remove,cancel [alarm_type : wake up] calls for [date : this week],False,False,True
14007,recommendation,events,events,could you list out the information on [event_name : book fairs] in [place_name : washington dc] for [date : next week],True,False,False
11745,play,audiobook,audiobook,[player_setting : keep playing] [audiobook_name : secret garden],False,False,True
6388,audio,volume_mute,volume_mute,don't make any sounds,False,False,True
5494,iot,hue_lightdim,hue_lightdim,[house_place : bed room two] darken,True,False,True
4130,audio,volume_down,volume_down,please adjust the speakers to a lower more comfortable level,False,False,True
555,music,settings,settings,please [player_setting : lower] the [player_setting : shuffle] rate of [song_name : hips don't lie],False,False,True
457,audio,volume_up,volume_up,please speak loud,False,False,True
2739,takeaway,order,order,open [order_type : takeout] menus,False,False,True
5869,iot,hue_lightdim,hue_lightdim,darken the [house_place : room] [change_amount : a bit],False,False,False
13756,play,podcasts,podcasts,[player_setting : forward] to [time : four twenty],False,False,True
242,datetime,datetime_query,datetime_query,is it [time : five] o'clock already,False,False,False
2190,iot,hue_lighton,hue_lighton,turn on [device_type : disco lights] in my [house_place : apartment],False,False,False
10340,recommendation,events,events,searching on [event_name : holidays] in my location,False,False,True
2582,takeaway,order,order,[order_type : takeaway] [food_type : noodles] one pack,False,False,True
7923,calendar,calendar_set,calendar_set,tell me later to file the [event_name : invoice],True,False,False
4519,iot,hue_lightchange,hue_lightchange,i don't like this light please show me other options,False,False,True
7687,general,quirky,quirky,when i came back from [place_name : this place],False,False,True
7408,music,music_query,music_query,what is a good [music_genre : rap] album that came out [date : this year],False,False,False
14081,recommendation,locations,locations,what stores have clearance,True,False,True
14114,recommendation,movies,movies,what are the show times for [event_name : logan] at the [place_name : nearby theatre],True,False,False
11932,cooking,recipe,recipe,what food is good,False,False,True
12259,play,game,game,start [game_name : spider],False,False,True
5485,audio,volume_mute,volume_mute,cut off noise,False,False,True
3391,iot,hue_lightdim,hue_lightdim,lighter shade on the lights please,False,False,True
7699,general,quirky,quirky,wake me only [time : after the sun is up] on sundays,False,False,True
8151,calendar,calendar_query,calendar_query,can you check the facts on this issue,False,False,True
3371,alarm,alarm_remove,alarm_remove,this alarm needs to be permanently silenced,True,False,False
12133,cooking,recipe,recipe,search in the web for buying bakeware for muffins,False,False,True
2132,iot,cleaning,cleaning,start [house_place : house] cleanup,False,False,False
14631,transport,transport_query,transport_query,direct me towards nearest [place_name : railway station],True,False,False
15173,transport,transport_query,transport_query,what time does the dart orange line leave for [place_name : west plano],False,False,False
6331,audio,volume_down,volume_down,turn down the sound,False,False,False
11750,play,audiobook,audiobook,pick up we left off on [audiobook_name : battle royale],False,False,True
16169,general,quirky,quirky,open the door,False,False,True
2372,music,music_query,music_query,show me results of what i'm listening to,False,False,True
4659,datetime,datetime_query,datetime_query,what is [time : ten am] in [time_zone : eastern] time,False,False,True
5192,takeaway,order,order,is there any good [food_type : chinese] [order_type : takeout] that's open late,False,False,False
9508,calendar,calendar_query,calendar_query,anything i haven't done yet,False,False,True
18003,qa,factoid,factoid,what's the cheapest price for [person : zoella's] first book,False,False,True
4625,iot,hue_lighton,hue_lighton,overhead lights on please,False,False,False
1311,takeaway,order,order,can you direct me to the menu for the highest rated [food_type : chinese] [order_type : carryout] near me,False,False,False
14867,transport,traffic,traffic,are there any backups on [place_name : route eighty] [date : today],True,False,False
20018,email,querycontact,querycontact,call [relation : dad],False,False,True
1231,music,settings,settings,please go to settings of the [device_type : music player] and make the [device_type : equalizer] in the [player_setting : flat sound mode],False,False,False
14020,recommendation,events,events,please recommend which [event_name : la lakers basketball] game i should attend [date : this month],False,False,True
17068,recommendation,locations,locations,find me the oldest hotel in [place_name : washington dc],True,False,False
12227,play,game,game,please start [game_name : clash of clans],False,False,True
11594,play,audiobook,audiobook,lets listen to [audiobook_name : hunt for read october],False,False,True
6611,play,music,music,start my [playlist_name : movies soundtrack] list,False,False,True
5874,news,news_query,news_query,please take me to [media_type : wall street journal],True,False,False
5335,iot,wemo_off,wemo_off,deactive the socket,False,False,False
15678,general,quirky,quirky,show me a funny video on [media_type : youtube],False,False,True
12294,play,game,game,open [game_name : subway surfers],False,False,True
5537,news,news_query,news_query,[news_topic : sports] head lines please,False,False,False
41,takeaway,takeaway_query,takeaway_query,find [food_type : thai] [order_type : takeaways] around [place_name : grassmarket],False,False,False
14394,recommendation,movies,movies,what's [event_name : playing in the roosendaal cinema],False,False,True
19655,email,querycontact,querycontact,read about [person : mary s.],False,False,True
6938,takeaway,order,order,any [food_type : fast food] meal offers,True,False,False
11509,play,audiobook,audiobook,[player_setting : restart] [audiobook_name : american gods],False,False,True
789,audio,volume_mute,volume_mute,don't speak for a while,False,False,True
20840,email,querycontact,querycontact,call [person : vikki],False,False,True
4684,iot,wemo_off,wemo_off,cut [device_type : wemo] power please,False,False,False
5823,news,news_query,news_query,[news_topic : dea guam prescription drug abuse on the rise],False,False,True
13022,lists,lists_remove,lists_remove,eliminate the list [list_name : kickball] but make sure the contacts remain,False,False,True
14069,recommendation,events,events,can you find me a [event_name : street fair] in the [place_name : neighborhood],False,False,False
16200,general,quirky,quirky,show me a map of everywhere the cat has been [date : this week],False,False,True
640,news,news_query,news_query,did the [news_topic : bitcoin go past ten mark] [date : yesterday],False,False,True
18282,qa,factoid,factoid,find me the perfect girlfriend,False,False,True
17823,qa,maths,maths,divide seventy six in two parts,False,False,False
16114,general,quirky,quirky,please give me the winning lottery numbers for [date : this weekend],False,False,False
9990,calendar,calendar_query,calendar_query,list events from this [time : three o'clock to five o'clock],False,False,True
8734,calendar,calendar_set,calendar_set,my [event_name : flight] is by [time : six pm] please keep me posted,False,False,True
6499,iot,wemo_on,wemo_on,turn on the [device_type : geyser],False,False,True
287,iot,hue_lightup,hue_lightup,set lights [change_amount : to full power],False,False,False
530,general,quirky,quirky,it is already late,False,False,False
3954,audio,volume_up,volume_up,speak loudly,False,False,True
16633,music,music_query,music_query,i want to know what song has the phrase stairway to heaven in it,False,False,True
8576,iot,wemo_off,wemo_off,turn off [device_type : wifi] when you leave home to save power,False,False,True
7052,iot,hue_lightup,hue_lightup,spread some lights,False,False,True
14647,transport,transport_query,transport_query,when [transport_name : indianapolis express] will reach [place_name : indiana],True,False,False
1565,alarm,alarm_remove,alarm_remove,change the alarm weekly settings,False,False,True
770,audio,volume_down,volume_down,could you please lower the tone,False,False,True
6933,audio,volume_mute,volume_mute,can you please be muted for a while,False,False,True
5212,iot,hue_lightdim,hue_lightdim,i want the room to be less bright,False,False,False
6768,audio,volume_down,volume_down,decrease [change_amount : twenty percent],False,False,True
12316,play,game,game,bring up [game_name : papa pear saga],False,False,True
5967,general,quirky,quirky,did you set the phone on flight mode,False,False,True
2120,iot,wemo_on,wemo_on,enable [device_type : wemo],True,False,False
11886,cooking,recipe,recipe,find the set of procedures for a meal course,False,False,True
14240,recommendation,events,events,anything unique to do in the city [date : today],False,False,False
4542,iot,coffee,coffee,make us a [coffee_type : brew],False,False,False
13871,recommendation,events,events,list [event_name : college sports] for [date : tomorrow] in [place_name : tulsa],True,False,False
