,scenario,intent,predicted_label,answer_annotation,review,move,remove
13755,play,podcasts,calendar_set,[player_setting : rewind] to [time : four twelve],False,False,True
13754,play,podcasts,calendar_set,jump to [time : eight twenty],False,False,True
13624,play,podcasts,createoradd,go to favourite list,False,False,True
13436,play,podcasts,factoid,find a debate about [podcast_descriptor : schools] in [place_name : uk],False,False,True
13623,play,podcasts,factoid,[radio_name : vitaly channel],False,False,True
13425,play,podcasts,music,play next recording,False,False,True
13787,play,podcasts,music,play all [podcast_name : order of the green hand] from previous week,False,False,True
13721,play,podcasts,music,play [podcast_name : rooster teeth] podcast,False,False,False
13707,play,podcasts,music,play [podcast_descriptor : musician play list],False,False,True
13706,play,podcasts,music,play my [podcast_descriptor : play list],False,False,True
13702,play,podcasts,music,start playing [podcast_name : ringcast],False,False,True
13680,play,podcasts,music,play [podcast_name : this week for dinner] now,False,False,True
13662,play,podcasts,music,play next segment,False,False,True
13611,play,podcasts,music,play the next recording,False,False,True
13583,play,podcasts,music,play stuff you should know,False,False,True
13567,play,podcasts,music,play volume two of [podcast_name : nutritional facts],False,False,True
13566,play,podcasts,music,play next [podcast_name : nutritional facts],False,False,True
13559,play,podcasts,music,play next please,False,False,True
13539,play,podcasts,music,can you play back to [date : december],False,False,True
13440,play,podcasts,music,play next,False,False,True
13433,play,podcasts,music,play the next one,False,False,True
13803,play,podcasts,music,i would like to hear some [podcast_name : levin],False,False,True
13729,play,podcasts,news_query,find me the latest podcast about [podcast_descriptor : president trump and his immigration ban],False,False,False
13801,play,podcasts,order,[player_setting : keep playing] the episodes in order,False,False,True
13586,play,podcasts,quirky,i want to go back,False,False,True
13727,play,podcasts,quirky,[player_setting : rewind] button,False,False,True
13790,play,podcasts,quirky,[podcast_name : ted talks],False,False,True
13791,play,podcasts,quirky,[podcast_name : npr ted talks],False,False,True
13621,play,podcasts,quirky,[player_setting : go backward] [time : thirty seconds],False,False,True
